SNo,Local Government Area,State,Delivery Days,Delivery Fee
1,Abadam,Borno State,5,6000
2,Abaji,FCT,3,3000
3,Abak,Akwa Ibom State,5,6000
4,Abakaliki,Ebonyi State,5,6000
5,Aba North,Abia State,5,6000
6,Aba South,Abia State,5,6000
7,Abeokuta North,Ogun State,3,3000
8,Abeokuta South,Ogun State,3,3000
9,Abi,Cross River State,5,6000
10,Aboh Mbaise,Imo State,5,6000
11,Abua/Odual,Rivers State,5,6000
12,Adavi,Kogi State,3,3000
13,Ado Ekiti,Ekiti State,3,3000
14,Ado-Odo/Ota,Ogun State,3,3000
15,Afijio,Oyo State,1,1000
16,Afikpo North,Ebonyi State,5,6000
17,Afikpo South,Ebonyi State,5,6000
18,Agaie,Niger State,5,6000
19,Agatu,Benue State,5,6000
20,Agwara,Niger State,5,6000
21,Agege,Lagos State,3,3000
22,Aguata,Anambra State,5,6000
23,Ahiazu Mbaise,Imo State,5,6000
24,Ahoada East,Rivers State,5,6000
25,Ahoada West,Rivers State,5,6000
26,Ajaokuta,Kogi State,3,3000
27,Ajeromi-Ifelodun,Lagos State,3,3000
28,Ajingi,Kano State,5,6000
29,Akamkpa,Cross River State,5,6000
30,Akinyele,Oyo State,1,1000
31,Akko,Gombe State,5,6000
32,Akoko-Edo,Edo State,3,3000
33,Akoko North-East,Ondo State,3,3000
34,Akoko North-West,Ondo State,3,3000
35,Akoko South-West,Ondo State,3,3000
36,Akoko South-East,Ondo State,3,3000
37,Akpabuyo,Cross River State,5,6000
38,Akuku-Toru,Rivers State,5,6000
39,Akure North,Ondo State,3,3000
40,Akure South,Ondo State,3,3000
41,Akwanga,Nasarawa State,5,6000
42,Albasu,Kano State,5,6000
43,Aleiro,Kebbi State,5,6000
44,Alimosho,Lagos State,3,3000
45,Alkaleri,Bauchi State,5,6000
46,Amuwo-Odofin,Lagos State,3,3000
47,Anambra East,Anambra State,5,6000
48,Anambra West,Anambra State,5,6000
49,Anaocha,Anambra State,5,6000
50,Andoni,Rivers State,5,6000
51,Aninri,Enugu State,5,6000
52,Aniocha North,Delta State,3,3000
53,Aniocha South,Delta State,3,3000
54,Anka,Zamfara State,5,6000
55,Ankpa,Kogi State,3,3000
56,Apa,Benue State,5,6000
57,Apapa,Lagos State,3,3000
58,Ado,Benue State,5,6000
59,Ardo Kola,Taraba State,5,6000
60,Arewa Dandi,Kebbi State,5,6000
61,Argungu,Kebbi State,5,6000
62,Arochukwu,Abia State,5,6000
63,Asa,Kwara State,3,3000
64,Asari-Toru,Rivers State,5,6000
65,Askira/Uba,Borno State,5,6000
66,Atakunmosa East,Osun State,3,3000
67,Atakunmosa West,Osun State,3,3000
68,Atiba,Oyo State,1,1000
69,Atisbo,Oyo State,1,1000
70,Augie,Kebbi State,5,6000
71,Auyo,Jigawa State,5,6000
72,Awe,Nasarawa State,5,6000
73,Awgu,Enugu State,5,6000
74,Awka North,Anambra State,5,6000
75,Awka South,Anambra State,5,6000
76,Ayamelum,Anambra State,5,6000
77,Aiyedaade,Osun State,3,3000
78,Aiyedire,Osun State,3,3000
79,Babura,Jigawa State,5,6000
80,Badagry,Lagos State,3,3000
81,Bagudo,Kebbi State,5,6000
82,Bagwai,Kano State,5,6000
83,Bakassi,Cross River State,5,6000
84,Bokkos,Plateau State,5,6000
85,Bakori,Katsina State,5,6000
86,Bakura,Zamfara State,5,6000
87,Balanga,Gombe State,5,6000
88,Bali,Taraba State,5,6000
89,Bama,Borno State,5,6000
90,Bade,Yobe State,5,6000
91,Barkin Ladi,Plateau State,5,6000
92,Baruten,Kwara State,3,3000
93,Bassa,Kogi State,3,3000
94,Bassa,Plateau State,5,6000
95,Batagarawa,Katsina State,5,6000
96,Batsari,Katsina State,5,6000
97,Bauchi,Bauchi State,5,6000
98,Baure,Katsina State,5,6000
99,Bayo,Borno State,5,6000
100,Bebeji,Kano State,5,6000
101,Bekwarra,Cross River State,5,6000
102,Bende,Abia State,5,6000
103,Biase,Cross River State,5,6000
104,Bichi,Kano State,5,6000
105,Bida,Niger State,5,6000
106,Billiri,Gombe State,5,6000
107,Bindawa,Katsina State,5,6000
108,Binji,Sokoto State,5,6000
109,Biriniwa,Jigawa State,5,6000
110,Birnin Gwari,Kaduna State,5,6000
111,Birnin Kebbi,Kebbi State,5,6000
112,Birnin Kudu,Jigawa State,5,6000
113,Birnin Magaji/Kiyaw,Zamfara State,5,6000
114,Biu,Borno State,5,6000
115,Bodinga,Sokoto State,5,6000
116,Bogoro,Bauchi State,5,6000
117,Boki,Cross River State,5,6000
118,Boluwaduro,Osun State,3,3000
119,Bomadi,Delta State,3,3000
120,Bonny,Rivers State,5,6000
121,Borgu,Niger State,5,6000
122,Boripe,Osun State,3,3000
123,Bursari,Yobe State,5,6000
124,Bosso,Niger State,5,6000
125,Brass,Bayelsa State,5,6000
126,Buji,Jigawa State,5,6000
127,Bukkuyum,Zamfara State,5,6000
128,Buruku,Benue State,5,6000
129,Bungudu,Zamfara State,5,6000
130,Bunkure,Kano State,5,6000
131,Bunza,Kebbi State,5,6000
132,Burutu,Delta State,3,3000
133,Bwari,FCT,3,3000
134,Calabar Municipal,Cross River State,5,6000
135,Calabar South,Cross River State,5,6000
136,Chanchaga,Niger State,5,6000
137,Charanchi,Katsina State,5,6000
138,Chibok,Borno State,5,6000
139,Chikun,Kaduna State,5,6000
140,Dala,Kano State,5,6000
141,Damaturu,Yobe State,5,6000
142,Damban,Bauchi State,5,6000
143,Dambatta,Kano State,5,6000
144,Damboa,Borno State,5,6000
145,Dandi,Kebbi State,5,6000
146,Dandume,Katsina State,5,6000
147,Dange Shuni,Sokoto State,5,6000
148,Danja,Katsina State,5,6000
149,Dan Musa,Katsina State,5,6000
150,Darazo,Bauchi State,5,6000
151,Dass,Bauchi State,5,6000
152,Daura,Katsina State,5,6000
153,Dawakin Kudu,Kano State,5,6000
154,Dawakin Tofa,Kano State,5,6000
155,Degema,Rivers State,5,6000
156,Dekina,Kogi State,3,3000
157,Demsa,Adamawa State,5,6000
158,Dikwa,Borno State,5,6000
159,Doguwa,Kano State,5,6000
160,Doma,Nasarawa State,5,6000
161,Donga,Taraba State,5,6000
162,Dukku,Gombe State,5,6000
163,Dunukofia,Anambra State,5,6000
164,Dutse,Jigawa State,5,6000
165,Dutsi,Katsina State,5,6000
166,Dutsin Ma,Katsina State,5,6000
167,Eastern Obolo,Akwa Ibom State,5,6000
168,Ebonyi,Ebonyi State,5,6000
169,Edati,Niger State,5,6000
170,Ede North,Osun State,3,3000
171,Ede South,Osun State,3,3000
172,Edu,Kwara State,3,3000
173,Ife Central,Osun State,3,3000
174,Ife East,Osun State,3,3000
175,Ife North,Osun State,3,3000
176,Ife South,Osun State,3,3000
177,Efon,Ekiti State,3,3000
178,Egbado North,Ogun State,3,3000
179,Egbado South,Ogun State,3,3000
180,Egbeda,Oyo State,1,1000
181,Egbedore,Osun State,3,3000
182,Egor,Edo State,3,3000
183,Ehime Mbano,Imo State,5,6000
184,Ejigbo,Osun State,3,3000
185,Ekeremor,Bayelsa State,5,6000
186,Eket,Akwa Ibom State,5,6000
187,Ekiti,Kwara State,3,3000
188,Ekiti East,Ekiti State,3,3000
189,Ekiti South-West,Ekiti State,3,3000
190,Ekiti West,Ekiti State,3,3000
191,Ekwusigo,Anambra State,5,6000
192,Eleme,Rivers State,5,6000
193,Emuoha,Rivers State,5,6000
194,Emure,Ekiti State,3,3000
195,Enugu East,Enugu State,5,6000
196,Enugu North,Enugu State,5,6000
197,Enugu South,Enugu State,5,6000
198,Epe,Lagos State,3,3000
199,Esan Central,Edo State,3,3000
200,Esan North-East,Edo State,3,3000
201,Esan South-East,Edo State,3,3000
202,Esan West,Edo State,3,3000
203,Ese Odo,Ondo State,3,3000
204,Esit Eket,Akwa Ibom State,5,6000
205,Essien Udim,Akwa Ibom State,5,6000
206,Etche,Rivers State,5,6000
207,Ethiope East,Delta State,3,3000
208,Ethiope West,Delta State,3,3000
209,Etim Ekpo,Akwa Ibom State,5,6000
210,Etinan,Akwa Ibom State,5,6000
211,Eti Osa,Lagos State,3,3000
212,Etsako Central,Edo State,3,3000
213,Etsako East,Edo State,3,3000
214,Etsako West,Edo State,3,3000
215,Etung,Cross River State,5,6000
216,Ewekoro,Ogun State,3,3000
217,Ezeagu,Enugu State,5,6000
218,Ezinihitte,Imo State,5,6000
219,Ezza North,Ebonyi State,5,6000
220,Ezza South,Ebonyi State,5,6000
221,Fagge,Kano State,5,6000
222,Fakai,Kebbi State,5,6000
223,Faskari,Katsina State,5,6000
224,Fika,Yobe State,5,6000
225,Fufure,Adamawa State,5,6000
226,Funakaye,Gombe State,5,6000
227,Fune,Yobe State,5,6000
228,Funtua,Katsina State,5,6000
229,Gabasawa,Kano State,5,6000
230,Gada,Sokoto State,5,6000
231,Gagarawa,Jigawa State,5,6000
232,Gamawa,Bauchi State,5,6000
233,Ganjuwa,Bauchi State,5,6000
234,Ganye,Adamawa State,5,6000
235,Garki,Jigawa State,5,6000
236,Garko,Kano State,5,6000
237,Garun Mallam,Kano State,5,6000
238,Gashaka,Taraba State,5,6000
239,Gassol,Taraba State,5,6000
240,Gaya,Kano State,5,6000
241,Gayuk,Adamawa State,5,6000
242,Gezawa,Kano State,5,6000
243,Gbako,Niger State,5,6000
244,Gboko,Benue State,5,6000
245,Gbonyin,Ekiti State,3,3000
246,Geidam,Yobe State,5,6000
247,Giade,Bauchi State,5,6000
248,Giwa,Kaduna State,5,6000
249,Gokana,Rivers State,5,6000
250,Gombe,Gombe State,5,6000
251,Gombi,Adamawa State,5,6000
252,Goronyo,Sokoto State,5,6000
253,Grie,Adamawa State,5,6000
254,Gubio,Borno State,5,6000
255,Gudu,Sokoto State,5,6000
256,Gujba,Yobe State,5,6000
257,Gulani,Yobe State,5,6000
258,Guma,Benue State,5,6000
259,Gumel,Jigawa State,5,6000
260,Gummi,Zamfara State,5,6000
261,Gurara,Niger State,5,6000
262,Guri,Jigawa State,5,6000
263,Gusau,Zamfara State,5,6000
264,Guzamala,Borno State,5,6000
265,Gwadabawa,Sokoto State,5,6000
266,Gwagwalada,FCT,3,3000
267,Gwale,Kano State,5,6000
268,Gwandu,Kebbi State,5,6000
269,Gwaram,Jigawa State,5,6000
270,Gwarzo,Kano State,5,6000
271,Gwer East,Benue State,5,6000
272,Gwer West,Benue State,5,6000
273,Gwiwa,Jigawa State,5,6000
274,Gwoza,Borno State,5,6000
275,Hadejia,Jigawa State,5,6000
276,Hawul,Borno State,5,6000
277,Hong,Adamawa State,5,6000
278,Ibadan North,Oyo State,1,1000
279,Ibadan North-East,Oyo State,1,1000
280,Ibadan North-West,Oyo State,1,1000
281,Ibadan South-East,Oyo State,1,1000
282,Ibadan South-West,Oyo State,1,1000
283,Ibaji,Kogi State,3,3000
284,Ibarapa Central,Oyo State,1,1000
285,Ibarapa East,Oyo State,1,1000
286,Ibarapa North,Oyo State,1,1000
287,Ibeju-Lekki,Lagos State,3,3000
288,Ibeno,Akwa Ibom State,5,6000
289,Ibesikpo Asutan,Akwa Ibom State,5,6000
290,Ibi,Taraba State,5,6000
291,Ibiono-Ibom,Akwa Ibom State,5,6000
292,Idah,Kogi State,3,3000
293,Idanre,Ondo State,3,3000
294,Ideato North,Imo State,5,6000
295,Ideato South,Imo State,5,6000
296,Idemili North,Anambra State,5,6000
297,Idemili South,Anambra State,5,6000
298,Ido,Oyo State,1,1000
299,Ido Osi,Ekiti State,3,3000
300,Ifako-Ijaiye,Lagos State,3,3000
301,Ifedayo,Osun State,3,3000
302,Ifedore,Ondo State,3,3000
303,Ifelodun,Kwara State,3,3000
304,Ifelodun,Osun State,3,3000
305,Ifo,Ogun State,3,3000
306,Igabi,Kaduna State,5,6000
307,Igalamela Odolu,Kogi State,3,3000
308,Igbo Etiti,Enugu State,5,6000
309,Igbo Eze North,Enugu State,5,6000
310,Igbo Eze South,Enugu State,5,6000
311,Igueben,Edo State,3,3000
312,Ihiala,Anambra State,5,6000
313,Ihitte/Uboma,Imo State,5,6000
314,Ilaje,Ondo State,3,3000
315,Ijebu East,Ogun State,3,3000
316,Ijebu North,Ogun State,3,3000
317,Ijebu North East,Ogun State,3,3000
318,Ijebu Ode,Ogun State,3,3000
319,Ijero,Ekiti State,3,3000
320,Ijumu,Kogi State,3,3000
321,Ika,Akwa Ibom State,5,6000
322,Ika North East,Delta State,3,3000
323,Ikara,Kaduna State,5,6000
324,Ika South,Delta State,3,3000
325,Ikeduru,Imo State,5,6000
326,Ikeja,Lagos State,3,3000
327,Ikenne,Ogun State,3,3000
328,Ikere,Ekiti State,3,3000
329,Ikole,Ekiti State,3,3000
330,Ikom,Cross River State,5,6000
331,Ikono,Akwa Ibom State,5,6000
332,Ikorodu,Lagos State,3,3000
333,Ikot Abasi,Akwa Ibom State,5,6000
334,Ikot Ekpene,Akwa Ibom State,5,6000
335,Ikpoba Okha,Edo State,3,3000
336,Ikwerre,Rivers State,5,6000
337,Ikwo,Ebonyi State,5,6000
338,Ikwuano,Abia State,5,6000
339,Ila,Osun State,3,3000
340,Ilejemeje,Ekiti State,3,3000
341,Ile Oluji/Okeigbo,Ondo State,3,3000
342,Ilesa East,Osun State,3,3000
343,Ilesa West,Osun State,3,3000
344,Illela,Sokoto State,5,6000
345,Ilorin East,Kwara State,3,3000
346,Ilorin South,Kwara State,3,3000
347,Ilorin West,Kwara State,3,3000
348,Imeko Afon,Ogun State,3,3000
349,Ingawa,Katsina State,5,6000
350,Ini,Akwa Ibom State,5,6000
351,Ipokia,Ogun State,3,3000
352,Irele,Ondo State,3,3000
353,Irepo,Oyo State,1,1000
354,Irepodun,Kwara State,3,3000
355,Irepodun,Osun State,3,3000
356,Irepodun/Ifelodun,Ekiti State,3,3000
357,Irewole,Osun State,3,3000
358,Isa,Sokoto State,5,6000
359,Ise/Orun,Ekiti State,3,3000
360,Iseyin,Oyo State,1,1000
361,Ishielu,Ebonyi State,5,6000
362,Isiala Mbano,Imo State,5,6000
363,Isiala Ngwa North,Abia State,5,6000
364,Isiala Ngwa South,Abia State,5,6000
365,Isin,Kwara State,3,3000
366,Isi Uzo,Enugu State,5,6000
367,Isokan,Osun State,3,3000
368,Isoko North,Delta State,3,3000
369,Isoko South,Delta State,3,3000
370,Isu,Imo State,5,6000
371,Isuikwuato,Abia State,5,6000
372,Itas/Gadau,Bauchi State,5,6000
373,Itesiwaju,Oyo State,1,1000
374,Itu,Akwa Ibom State,5,6000
375,Ivo,Ebonyi State,5,6000
376,Iwajowa,Oyo State,1,1000
377,Iwo,Osun State,3,3000
378,Izzi,Ebonyi State,5,6000
379,Jaba,Kaduna State,5,6000
380,Jada,Adamawa State,5,6000
381,Jahun,Jigawa State,5,6000
382,Jakusko,Yobe State,5,6000
383,Jalingo,Taraba State,5,6000
384,Jama'are,Bauchi State,5,6000
385,Jega,Kebbi State,5,6000
386,Jema'a,Kaduna State,5,6000
